,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
222,closed,2020-05-10 22:55:21,,27722.0,2,1206,Initialize num_properties to 0 in ParameterSerializer.hpp,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1206,2020-05-11 06:37:23
223,closed,2020-05-08 13:18:23,,236193.0,2,1204,Adding DCO to CONTRIBUTING.md,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1204,2020-05-11 06:54:56
224,closed,2020-05-08 07:54:54,,875071.0,10,1202,DDS Fix doxygen [8422],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1202,2020-05-18 10:59:25
225,closed,2020-05-07 13:24:00,,76127.0,3,1200,remove default QoS parameter from entity creation methods [8364],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1200,2020-05-08 10:32:47
226,closed,2020-05-07 13:23:44,,,11,1199,remove default QoS parameter from entity creation methods <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1199,
227,closed,2020-05-06 10:34:27,,14764.0,4,1198,Fixing wrong check should be intraprocess [8356],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1198,2020-05-06 14:40:31
228,closed,2020-05-05 14:43:51,,54594.0,3,1197,Fixed doxygen <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1197,2020-05-06 05:53:45
229,closed,2020-05-05 10:14:34,,83523.0,3,1196,Fix error on BitmapRange::remove [8354],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1196,2020-05-06 09:26:37
230,closed,2020-05-04 11:23:09,,10991.0,1,1195,Improved best-effort late-joiners,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1195,2020-05-04 14:26:20
231,closed,2020-05-04 06:39:12,,1669292.0,21,1194,DDS API Examples,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1194,2020-05-23 14:20:44
232,closed,2020-05-01 09:39:46,,246207.0,1,1193,Fix #1192 using standard zero-initialization.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1193,2020-05-04 06:03:13
233,closed,2020-04-30 12:05:09,,509014.0,12,1191,DDS entity profiles management,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1191,2020-05-06 09:28:43
234,closed,2020-04-30 06:13:32,,346728.0,14,1190,Fixes and improvements on StatefulWriter <2.0.x> [8324],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1190,2020-05-04 06:32:20
235,closed,2020-04-27 16:32:16,,623.0,1,1188,Disable SHM as default transport on Windows <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1188,2020-04-27 16:42:39
236,closed,2020-04-27 16:20:19,,1781524.0,32,1187,SHM Tests & improvements <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1187,2020-05-18 07:12:23
237,open,2020-04-27 16:14:41,,,7,1186,Fixed interlocking on endpoint deletion [9196],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1186,
238,open,2020-04-27 01:27:41,,,1,1185,reduce ubsan warnings,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1185,
239,closed,2020-04-26 19:42:54,,39657.0,1,1184,bugfix on DDS Communication test,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1184,2020-04-27 06:43:51
240,closed,2020-04-26 00:09:26,,,1,1183,memory test compilation fixes,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1183,
241,closed,2020-04-24 16:04:47,,257486.0,4,1182,Load DDSParticipantQos from XML [8259],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1182,2020-04-27 15:36:13
242,open,2020-04-24 15:49:23,,,31,1181,SHM Tests & improvements <1.10.x> [8250],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1181,
243,closed,2020-04-24 11:33:43,,271823.0,6,1180,Fix PSM unit tests,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1180,2020-04-27 15:04:06
244,closed,2020-04-24 07:32:03,,526015.0,8,1179,Remove dynamic allocations [8256],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1179,2020-04-30 09:38:58
245,closed,2020-04-23 22:06:14,,33020.0,1,1177,[8255] Solving validation error when creating SERVER or BACKUP participant,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1177,2020-04-24 07:16:34
246,open,2020-04-23 13:48:56,,,2,1175,Enable SHM as a default transport <1.10.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1175,
247,closed,2020-04-23 07:19:55,,4763.0,2,1174,Fix api break on profiling tests [8243],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1174,2020-04-23 08:39:18
248,closed,2020-04-22 12:07:10,,7848.0,2,1172,Solve localhost issues on default server client discovery setup via environmental variable,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1172,2020-04-22 14:17:58
249,closed,2020-04-22 10:04:15,,13331.0,2,1171,Feature/dds domainparticipant enable,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1171,2020-04-22 13:46:26
250,closed,2020-04-22 07:57:21,,7911.0,1,1170,Fixing gcc 9 warnings [8231],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1170,2020-04-22 10:09:12
251,closed,2020-04-22 05:51:23,,56398.0,4,1169,Adding default ctor to interprocess_semaphore <1.10.x> [8229],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1169,2020-04-22 21:31:21
252,closed,2020-04-21 14:52:45,,110499.0,36,1167,DDS api blackboxtests adaptation [8230],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1167,2020-04-22 21:34:24
253,closed,2020-04-21 14:41:48,,111273.0,9,1166,Shared Memory fixes and improvements,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1166,2020-04-22 21:36:21
254,closed,2020-04-21 09:46:33,,12493.0,7,1165,Change register type return type [8227],https://api.github.com/repos/eProsima/Fast-DDS/pulls/1165,2020-04-21 13:14:46
255,closed,2020-04-21 05:17:30,,9555.0,1,1164,Fixing AES-128 use cases. <master>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/1164,2020-04-21 07:56:45
