,state,opened_on,closed,time_to_close,commits,number,title,url,closed_at
75,closed,2021-08-10 08:11:05,,5271.0,2,2136,[12357] Fix doxygen documentation,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2136,2021-08-10 09:38:56
76,closed,2021-08-06 11:11:01,,337444.0,4,2131,WireProtocolConfigQos update through DomainParticipant::set_qos [12197],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2131,2021-08-10 08:55:05
77,closed,2021-08-06 10:47:52,,358799.0,6,2130,[12196] Add UserDataQoS blackbox test,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2130,2021-08-10 14:27:51
78,closed,2021-08-06 08:09:11,,2155705.0,7,2128,[12371] Waitset implementation,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2128,2021-08-31 06:57:36
79,closed,2021-08-06 07:19:43,,2077814.0,1,2127,Apply setting subscriber's partition to empty set [12317] (backport #2108),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2127,2021-08-30 08:29:57
80,closed,2021-08-06 07:19:28,,612885.0,1,2126,Apply setting subscriber's partition to empty set [12317] (backport #2108),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2126,2021-08-13 09:34:13
81,open,2021-08-06 07:19:11,,,2,2125,Apply setting subscriber's partition to empty set [12317] (backport #2108),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2125,
82,open,2021-08-06 07:18:52,,,1,2124,Apply setting subscriber's partition to empty set [12317] (backport #2108),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2124,
83,open,2021-08-06 06:08:59,,,1,2123,Move optionparser to thirdparty [12336],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2123,
84,open,2021-08-05 12:12:57,,,24,2122,New DDS example: Basic Configuration HelloWorld [12329],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2122,
85,closed,2021-08-05 11:51:30,,23833.0,2,2121,Deadline error when no Reliable DataReaders in VOLATILE DataWriters [12321] (backport #2112),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2121,2021-08-05 18:28:43
86,closed,2021-08-05 11:51:03,,23902.0,2,2120,Deadline error when no Reliable DataReaders in VOLATILE DataWriters [12321] (backport #2112),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2120,2021-08-05 18:29:25
87,closed,2021-08-05 11:50:25,,23988.0,1,2119,Deadline error when no Reliable DataReaders in VOLATILE DataWriters [12321] (backport #2112),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2119,2021-08-05 18:30:13
88,closed,2021-08-05 11:49:57,,682824.0,1,2118,Deadline error when no Reliable DataReaders in VOLATILE DataWriters [12321] (backport #2112),https://api.github.com/repos/eProsima/Fast-DDS/pulls/2118,2021-08-13 09:30:21
89,closed,2021-08-05 11:02:32,,617603.0,1,2117,Fix calculation next_payload when more than one loop [12332],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2117,2021-08-12 14:35:55
90,closed,2021-08-03 12:32:42,,585119.0,13,2113,[12196] DomainParticipantQos propagation to the RTPS layer implementation,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2113,2021-08-10 07:04:41
91,closed,2021-08-03 07:43:54,,187514.0,4,2112,Deadline error when no Reliable DataReaders in VOLATILE DataWriters [12321],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2112,2021-08-05 11:49:08
92,closed,2021-08-03 05:24:37,,5157.0,2,2111,[12196] Add empty api,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2111,2021-08-03 06:50:34
93,closed,2021-08-02 12:06:49,,328272.0,5,2108,Apply setting subscriber's partition to empty set [12317],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2108,2021-08-06 07:18:01
94,closed,2021-07-30 06:50:25,,2678893.0,1,2105,Remove old cmake code for old installers creation [12296],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2105,2021-08-30 06:58:38
95,closed,2021-07-29 14:09:17,,1905.0,2,2104,Bump version to 2.3.4,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2104,2021-07-29 14:41:02
96,open,2021-07-29 09:11:22,,,8,2103,New feature: chaining transports [12290],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2103,
97,closed,2021-07-29 08:48:00,,2713.0,1,2102,Fix LateJoiners example,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2102,2021-07-29 09:33:13
98,closed,2021-07-29 06:16:06,,946742.0,1,2101,Implementation of DataWriter::get_type() [12286],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2101,2021-08-09 05:15:08
99,closed,2021-07-27 11:35:07,,401.0,1,2096,Fix late joiners example,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2096,2021-07-27 11:41:48
100,closed,2021-07-27 11:04:22,,13294.0,1,2095,Fix Fast DDS CLI server name,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2095,2021-07-27 14:45:56
101,closed,2021-07-27 10:45:15,,14402.0,1,2094,Fix publication throughput statistic on volatile writers [12269],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2094,2021-07-27 14:45:17
102,closed,2021-07-26 12:22:05,,3172255.0,11,2092,Feature/datasharing custom path [12051],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2092,2021-09-01 05:33:00
103,closed,2021-07-23 10:07:03,,3901442.0,6,2090,Avoid a volatile datasharing reader blocks a writer [12222],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2090,2021-09-06 13:51:05
104,closed,2021-07-23 05:36:51,,1828466.0,1,2089,Check for NDEBUG in logInfo [12218],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2089,2021-08-13 09:31:17
105,closed,2021-07-22 12:21:37,,62645.0,1,2088,Remove unused variable,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2088,2021-07-23 05:45:42
106,closed,2021-07-22 11:06:59,,617796.0,2,2087,Disable mirror workflow,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2087,2021-07-29 14:43:35
107,closed,2021-07-21 13:42:10,,57141.0,2,2086,Unprotected code loaning samples [12211],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2086,2021-07-22 05:34:31
108,open,2021-07-20 11:03:59,,,3,2084,Fixes #2083.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2084,
109,closed,2021-07-19 07:58:10,,23631.0,2,2079,[12168] Fixing SequenceNumberSet_t deserialization,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2079,2021-07-19 14:32:01
110,closed,2021-07-16 10:42:14,,240620.0,1,2075,Accept Statistics DataWriters in Discovery Server [12139],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2075,2021-07-19 05:32:34
111,closed,2021-07-15 13:52:43,,316062.0,4,2074,Read/Take return NO_DATA if a future change is found [12134],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2074,2021-07-19 05:40:25
112,closed,2021-07-15 09:38:54,,71068.0,1,2072,Fix attribute error #2071,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2072,2021-07-16 05:23:22
113,closed,2021-07-15 08:46:08,,342051.0,7,2070,Fix error in read_sample()/take_sample() operations with Datasharing [12130],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2070,2021-07-19 07:46:59
114,closed,2021-07-14 12:39:03,,6760.0,1,2068,Fixes #2066.,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2068,2021-07-14 14:31:43
115,closed,2021-07-14 12:27:07,,,61,2067,Fixes example compilation for QNX #2066,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2067,
116,closed,2021-07-12 09:40:10,,2604490.0,15,2061,Resolve ip name [11726],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2061,2021-08-11 13:08:20
117,closed,2021-07-12 09:27:51,,10777.0,1,2060,Fix segfault on deprecated tests. [12044],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2060,2021-07-12 12:27:28
118,closed,2021-07-12 06:52:22,,170204.0,1,2059,Network latency reports source participant [12020],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2059,2021-07-14 06:09:06
119,closed,2021-07-08 12:18:26,,1036870.0,8,2056,[11993] Assuring proper history clean up when a reader unmatches a writer keeping abi compatibility,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2056,2021-07-20 12:19:36
120,closed,2021-07-07 13:53:27,,145127.0,8,2054,Support of googletest using colcon [12009],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2054,2021-07-09 06:12:14
121,open,2021-07-07 11:26:35,,,10,2053,[11993] Assuring proper history clean up when a reader unmatches a writer,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2053,
122,closed,2021-07-07 07:20:51,,287294.0,8,2052,Status condition blackbox [11834],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2052,2021-07-10 15:09:05
123,closed,2021-07-06 14:15:42,,148640.0,7,2050,Fix subscription throughput data generation [11964],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2050,2021-07-08 07:33:02
124,closed,2021-07-06 12:35:57,,93925.0,7,2049,Fix wrong size calculation [11963],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2049,2021-07-07 14:41:22
125,closed,2021-07-02 14:45:55,,,9,2047,Several fixes,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2047,
126,closed,2021-07-02 07:18:23,,254160.0,2,2043,Fix return inmediatly from wait_discovery() on tests [11931],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2043,2021-07-05 05:54:23
127,closed,2021-07-02 07:14:28,,254097.0,1,2042,Fix run event when was cancelled [11930],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2042,2021-07-05 05:49:25
128,closed,2021-07-02 07:11:28,,254161.0,3,2041,Fix interval loop on events [11929],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2041,2021-07-05 05:47:29
129,closed,2021-07-02 07:05:10,,254408.0,2,2040,Warning if cannot open multicast port [11928],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2040,2021-07-05 05:45:18
130,closed,2021-07-02 06:54:37,,254952.0,2,2039,Fix wrong usage of condition_variable [11927],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2039,2021-07-05 05:43:49
131,closed,2021-07-02 06:49:03,,255153.0,4,2038,Add warning about Datasharing limitation with Datareader's history size [11926],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2038,2021-07-05 05:41:36
132,closed,2021-07-02 06:40:49,,255546.0,2,2037,Fix deadlock with LivelinessManager [11925],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2037,2021-07-05 05:39:55
133,closed,2021-07-02 06:35:43,,255771.0,1,2036,Fix bug using not protected code in a test [11924],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2036,2021-07-05 05:38:34
134,closed,2021-07-02 06:25:19,,361520.0,2,2035,Validate sequence range on CDRMessage::readSequenceNumberSet [11920],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2035,2021-07-06 10:50:39
135,closed,2021-07-02 06:22:00,,256353.0,3,2034,Fix deadlock with security and timers. [11923],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2034,2021-07-05 05:34:33
136,closed,2021-07-02 06:10:01,,28863.0,1,2033,Fix segmentation fault on discovery server [11922],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2033,2021-07-02 14:11:04
137,closed,2021-06-30 14:24:15,,400502.0,9,2030,Notify status changes [11835],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2030,2021-07-05 05:39:17
138,closed,2021-06-28 14:48:22,,73958.0,8,2029,StatusCondition implementation [11824],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2029,2021-06-29 11:21:00
139,closed,2021-06-28 08:37:28,,7989.0,1,2028,Remove assert on network statistics processing code,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2028,2021-06-28 10:50:37
140,closed,2021-06-28 05:24:47,,258196.0,5,2027,Limit SequenceNumberSet number of bits on deserialization [11875],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2027,2021-07-01 05:08:03
141,closed,2021-06-25 10:17:24,,272364.0,12,2026,StatusCondition unit tests [11823],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2026,2021-06-28 13:56:48
142,closed,2021-06-24 09:19:52,,22572.0,1,2024,Change constants initialization [11867],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2024,2021-06-24 15:36:04
143,closed,2021-06-24 06:46:47,,21640.0,4,2023,Fix mutex lock count on PDPListener [11861] <2.0.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2023,2021-06-24 12:47:27
144,closed,2021-06-24 06:46:09,,21591.0,3,2022,Fix mutex lock count on PDPListener [11861] <2.1.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2022,2021-06-24 12:46:00
145,closed,2021-06-24 06:45:25,,21466.0,1,2021,Fix mutex lock count on PDPListener [11861] <2.2.x>,https://api.github.com/repos/eProsima/Fast-DDS/pulls/2021,2021-06-24 12:43:11
146,closed,2021-06-23 13:07:02,,63366.0,4,2020,Fix mutex lock count on PDPListener [11861],https://api.github.com/repos/eProsima/Fast-DDS/pulls/2020,2021-06-24 06:43:08
