,closed_at,created_at,labels,id,number,state,title,url,last_mod,comments,turn_round
32,,2021-09-14 14:40:00,[],996100973,947,open,Add compiler option to specify prefix directory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/947,,2,
33,,2021-09-13 11:58:22,[],994801305,946,closed,use-after-free in IDLC,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/946,,1,962502.0
34,,2021-09-13 11:34:48,[],994782022,945,closed,examples: add support for yocto cross compiling,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/945,,12,1505837.0
35,,2021-09-10 22:57:05,[],993654128,944,open,"Documentation has two different ""default"" values for ParticipantIndex",https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/944,,7,
36,,2021-09-09 12:56:42,[],992192023,943,closed,use iceoryx user header,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/943,,2,1880787.0
37,,2021-09-09 12:09:05,[],992148570,942,open,Include fix for annotation reference count bug in IDL tree to 0.8.1,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/942,,0,
38,,2021-09-09 09:45:06,[],992017582,941,open,Update serdata functions to handle sequences/strings with shared memory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/941,,0,
39,,2021-09-08 15:15:06,[],991252447,940,closed,Backport of fix for failing dlopen test to 0.8.x release branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/940,,0,4508.0
40,,2021-09-08 12:30:40,[],991086063,939,open,Use iceoryx user headers,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/939,,0,
41,,2021-09-07 18:30:23,[],990241705,938,closed,Use correct offset when serializing type consistency qos,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/938,,1,46078.0
42,,2021-09-07 15:28:53,[],990105930,937,closed,ExplicitlyPublishQosSetToDefault breaks reader and/or writer,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/937,,8,65441.0
43,,2021-09-07 11:18:59,[],989876173,936,closed,Add python idl locator to idlc.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/936,,1,1890455.0
44,,2021-09-07 08:47:39,[],989745361,935,open,Use-after-free in processing topic discovery message,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/935,,0,
45,,2021-09-07 08:00:04,[],989704299,934,closed,Remove VS analyzer and add example for using built-in topics,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/934,,2,19366.0
46,,2021-09-07 07:52:06,[],989697867,933,closed,Dereference as void* to avoid crash with -O2,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/933,,3,6764.0
47,,2021-09-06 14:44:41,[],989244011,932,closed,Fix dlopen_path test on normal VS/Xcode,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/932,,2,168401.0
48,,2021-09-06 10:10:03,[],989008328,931,closed,Cache Eclipse Iceoryx,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/931,,0,1485243.0
49,,2021-09-06 08:16:20,[],988905243,930,open,CycloneDDS performance,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/930,,2,
50,,2021-09-03 16:30:46,[],987936088,929,closed,Improve diagnostic when idlc loads plugin,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/929,,10,1537313.0
51,,2021-09-03 07:59:11,[],987515352,928,closed,ddsrt_malloc size for maxq_list is incorrect in find_own_ip,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/928,,0,8434.0
52,,2021-09-03 06:17:41,[],987437479,927,closed,dsrt_malloc size for maxq_list is incorrect in find_own_ip,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/927,,3,7826.0
53,,2021-09-03 06:05:47,[],987430225,926,closed,ddsrt_malloc size is incorrect in find_own_ip,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/issues/926,,2,276854.0
