,state,opened_on,time_to_close,closed_at,commits,number,title,url,closed
81,closed,2021-06-25 07:23:50,367985.0,2021-06-29 13:36:55,2,855,Use constants for security property names,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/855,
82,closed,2021-06-24 14:35:42,73326.0,2021-06-25 10:57:48,1,854,Fix include of symlinked files,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/854,
83,closed,2021-06-24 12:24:27,2281.0,2021-06-24 13:02:28,25,853,CRL support,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/853,
84,closed,2021-06-23 17:33:13,50381.0,2021-06-24 07:32:54,4,852,Fixes for the remaining Coverity issues,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/852,
85,closed,2021-06-23 07:48:38,30233.0,2021-06-23 16:12:31,1,850,Update Cyclone DDS quality declaration,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/850,
86,closed,2021-06-22 16:11:38,68847.0,2021-06-23 11:19:05,2,849,Fix FreeRTOS+LwIP builds + one more coverity fix,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/849,
87,closed,2021-06-22 13:43:29,1643.0,2021-06-22 14:10:52,8,848,Fixes for some of the Coverity issues in the IDL compiler,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/848,
88,open,2021-06-22 10:58:02,,,1,847,Added QNX OS support,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/847,
89,closed,2021-06-22 08:00:20,2958.0,2021-06-22 08:49:38,3,846,Coverity fixes to Cyclone core,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/846,
90,closed,2021-06-22 07:53:02,,,1,845,Fix the behavior of preprocessor with include directory search list,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/845,
91,closed,2021-06-18 15:46:13,6285484.0,2021-08-30 09:44:17,7,842,Add support for building with mingw-w64,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/842,
92,closed,2021-06-17 08:17:26,1854.0,2021-06-17 08:48:20,1,840,Fix mistyped ddsrt_mtime_t.,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/840,
93,closed,2021-06-16 18:29:02,50476.0,2021-06-17 08:30:18,1,839,Do not publish documentation on pull requests,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/839,
94,closed,2021-06-16 14:16:08,7356.0,2021-06-16 16:18:44,2,838,Fix dds_find_topic_scoped handling of topics in different participants,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/838,
95,closed,2021-06-15 09:59:06,83901.0,2021-06-16 09:17:27,6,836,Fixes for errors and warnings on FreeRTOS,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/836,
96,closed,2021-06-14 14:39:38,238855.0,2021-06-17 09:00:33,7,835,Use original filename if include is located in additional include directory,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/835,
97,closed,2021-06-10 15:55:55,1199110.0,2021-06-24 13:01:05,25,834,Implement Certificate Revocation Lists in security authentication,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/834,
98,closed,2021-06-10 10:33:13,95265.0,2021-06-11 13:00:58,5,833,Fixes for issues introduced by merging the iceoryx branch,https://api.github.com/repos/eclipse-cyclonedds/cyclonedds/pulls/833,
