,json_fname,rmw_implementation,async_pub,bandwidth,loss,delay,message_rate,message_type,reliability,durability,history_kind,history_depth,pub_mean_T_experiment,pub_mean_T_loop,pub_mean_received,pub_mean_sent,pub_mean_lost,pub_mean_relative_loss,pub_mean_data_received,pub_mean_latency_mean (ms),pub_mean_latency_variance (ms),pub_mean_pub_loop_res_min (ms),pub_mean_pub_loop_res_max (ms),pub_mean_pub_loop_res_mean (ms),pub_mean_pub_loop_res_variance (ms),pub_mean_sub_loop_res_mean (ms),pub_mean_sub_loop_res_variance (ms),pub_mean_ru_utime,pub_mean_ru_stime,pub_mean_ru_maxrss,pub_mean_ru_ixrss,pub_mean_ru_idrss,pub_mean_ru_isrss,pub_mean_ru_minflt,pub_mean_ru_majflt,pub_mean_ru_nswap,pub_mean_ru_inblock,pub_mean_ru_oublock,pub_mean_ru_msgsnd,pub_mean_ru_msgrcv,pub_mean_ru_nsignals,pub_mean_ru_nvcsw,pub_mean_ru_nivcsw,pub_mean_cpu_usage (%),pub_sum_sent,pub_sum_recv,pub_sum_lost,sub_mean_T_experiment,sub_mean_T_loop,sub_mean_received,sub_mean_sent,sub_mean_lost,sub_mean_data_received,sub_mean_latency_mean (ms),sub_mean_pub_loop_res_mean (ms),sub_mean_pub_loop_res_variance (ms),sub_mean_sub_loop_res_min (ms),sub_mean_sub_loop_res_max (ms),sub_mean_sub_loop_res_mean (ms),sub_mean_sub_loop_res_variance (ms),sub_mean_ru_utime,sub_mean_ru_stime,sub_mean_ru_maxrss,sub_mean_ru_ixrss,sub_mean_ru_idrss,sub_mean_ru_isrss,sub_mean_ru_minflt,sub_mean_ru_majflt,sub_mean_ru_nswap,sub_mean_ru_inblock,sub_mean_ru_oublock,sub_mean_ru_msgsnd,sub_mean_ru_msgrcv,sub_mean_ru_nsignals,sub_mean_ru_nvcsw,sub_mean_ru_nivcsw,sub_mean_cpu_usage (%),sub_sum_sent,sub_sum_recv,sub_sum_lost,lost_prct,experiment,run,sub_mean_latency_min (ms),sub_mean_latency_max (ms),sub_mean_latency_variance (ms)
673,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run10/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.006326133333333,1.0006120666666667,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.517333333333333,21.579333333333334,19.78066666666667,0.004074883333333333,0.0,0.0,0.15062000000000003,0.4956566666666667,26228.0,0.0,0.0,0.0,4543.0,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,2015.0,70.26666666666667,0.6325666666666666,437,0,0,8.193237266666667,1.0291826666666666,28.933333333333334,0.0,0.0,15425555.266666668,15.662666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8107366666666667,0.6322366666666667,22904.0,0.0,0.0,0.0,3931.2,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33503.4,3.6666666666666665,1.4499333333333333,0,434,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run10,15.399333333333335,16.34333333333333,7.027226666666669e-05
674,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run02/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.0094814,1.0010638,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.278666666666666,21.20133333333333,19.480666666666664,0.004405137999999999,0.0,0.0,0.14826799999999998,0.5069093333333333,26420.0,0.0,0.0,0.0,4568.866666666667,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,2069.733333333333,53.2,0.6599866666666666,437,0,0,8.200172933333333,1.0294508,28.866666666666667,0.0,0.0,15424298.666666666,15.870000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.8705066666666668,0.5997173333333333,23640.0,0.0,0.0,0.0,4039.133333333333,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33617.0,10.8,1.4816,0,433,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run02,15.416,19.160000000000004,0.0055507496
675,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run08/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.005617533333332,1.0005570666666666,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.45,21.663333333333334,19.751333333333335,0.004338326666666668,0.0,0.0,0.32781133333333334,0.32831333333333335,26232.0,0.0,0.0,0.0,4524.933333333333,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1991.8666666666666,36.46666666666667,0.66038,437,0,0,8.162027133333334,1.022363,29.0,0.0,0.0,15459823.266666668,15.698,0.0,0.0,0.0,0.0,0.0,0.0,0.89264,0.6472593333333332,22984.0,0.0,0.0,0.0,3920.866666666667,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33374.066666666666,10.0,1.552066666666667,0,435,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run08,15.446666666666665,16.548,0.00011506786666666667
676,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run05/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.008450266666667,1.0009606,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.294666666666668,21.316666666666666,19.5,0.0046138533333333325,0.0,0.0,0.139926,0.5203193333333334,25876.0,0.0,0.0,0.0,4397.466666666666,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1997.0,80.4,0.6656466666666668,437,0,0,8.106931133333333,1.0157667333333333,29.066666666666666,0.0,0.0,15588618.866666667,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.7275613333333334,0.6771346666666667,22964.0,0.0,0.0,0.0,3888.133333333333,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33170.2,10.4,1.4249333333333334,0,436,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run05,15.484666666666667,16.63533333333333,0.00032355484666666667
677,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run07/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.005808666666667,1.0006548666666668,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,12.14464,21.752,19.53933333333333,0.005976882000000001,0.0,0.0,0.148956,0.5249013333333333,26139.2,0.0,0.0,0.0,4502.866666666667,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,2016.2,57.8,0.6714066666666667,437,0,0,8.159337133333333,1.0246784,28.933333333333334,0.0,0.13333333333333333,15423646.933333334,16.06933333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.8835866666666667,0.6893533333333333,22856.0,0.0,0.0,0.0,3906.0,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33104.6,15.466666666666667,1.5854666666666664,0,434,2,0.4576659038901602,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run07,15.428000000000003,23.398666666666667,0.004977215866666667
678,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run09/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.004446266666665,1.000438,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.918666666666663,21.638666666666666,19.790000000000003,0.0030316293333333333,0.0,0.0,0.12139066666666666,0.5147066666666666,26236.0,0.0,0.0,0.0,4519.866666666667,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1980.1333333333334,77.26666666666667,0.6493666666666666,437,0,0,8.172986066666668,1.0224583999999999,29.0,0.0,0.0,15484562.8,15.66266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8884,0.6122759999999999,22740.0,0.0,0.0,0.0,3919.0666666666666,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33334.4,10.6,1.4863333333333333,0,435,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run09,15.434666666666669,16.336,4.514640666666666e-05
679,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay/run01/experiment_config.json,rmw_cyclonedds_cpp,sync,300,0,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.006410666666666,1.0008367333333335,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,16.566,21.261333333333333,19.544,0.003107716666666667,0.0,0.0,0.16857,0.47742066666666666,26564.0,0.0,0.0,0.0,4511.0,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1993.0,21.0,0.65462,437,0,0,8.204217000000002,1.0294220666666667,29.0,0.0,0.0,15425061.333333334,15.667333333333328,0.0,0.0,0.0,0.0,0.0,0.0,0.9752133333333332,0.484142,22888.0,0.0,0.0,0.0,3902.0,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,33449.8,10.133333333333333,1.470533333333333,0,435,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_0loss_0delay,run01,15.424666666666667,16.203333333333337,3.6994933333333334e-05
680,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay/run04/experiment_config.json,rmw_cyclonedds_cpp,sync,300,20,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.013507400000002,1.0014787333333335,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,21.614533333333334,27.478666666666676,25.278666666666663,0.004104106666666667,0.0,0.0,0.10243666666666668,0.2000770666666667,24024.0,0.0,0.0,0.0,3959.5333333333333,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,889.0,12.533333333333333,0.39924733333333334,437,0,0,8.123321066666668,1.0211281333333333,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.15171,0.012835999999999998,20028.0,0.0,0.0,0.0,2959.866666666667,0.0,0.0,0.0,8.0,0.0,0.0,0.0,477.73333333333335,3.2666666666666666,0.18614333333333333,0,0,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay,run04,0.0,0.0,0.0
681,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay/run06/experiment_config.json,rmw_cyclonedds_cpp,sync,300,20,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.008547600000002,1.0008892,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,18.842079999999996,24.64,22.326,0.00419362,0.0,0.0,0.13679733333333335,0.38190133333333337,25660.0,0.0,0.0,0.0,4388.2,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1486.7333333333333,25.6,0.5326066666666667,437,0,0,8.127128066666668,1.0157853333333335,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.14536066666666667,0.036699999999999997,20092.0,0.0,0.0,0.0,2974.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,626.1333333333333,6.866666666666666,0.1529886666666667,0,0,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay,run06,0.0,0.0,0.0
682,./data/mininet_experiments/2020-10-23_10-47-36/rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay/run03/experiment_config.json,rmw_cyclonedds_cpp,sync,300,20,0,30,PointCloud512k,reliable,volatile,keep_last,10,8.0108866,1.0013216,0.0,29.133333333333333,0.0,0.0,0.0,inf,0.0,18.759126666666667,24.502000000000002,22.314000000000004,0.00394312,0.0,0.0,0.13800800000000002,0.4011806666666667,26325.6,0.0,0.0,0.0,4494.133333333333,0.0,0.0,0.0,8.533333333333333,0.0,0.0,0.0,1484.6666666666667,27.466666666666665,0.5434800000000001,437,0,0,8.135426333333333,1.0219681333333335,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.152698,0.03632266666666666,19928.0,0.0,0.0,0.0,2960.9333333333334,0.0,0.0,0.0,8.0,0.0,0.0,0.0,659.8666666666667,6.733333333333333,0.196932,0,0,0,0.0,rmw_cyclonedds_cpp_sync_PointCloud512k@30_reliable_volatile_keep_last@10_300bw_20loss_0delay,run03,0.0,0.0,0.0
