,file_name,data_type,flavor,vendor,95th Percentile Data Received (Mb),median data_received (Mb),mean data_received (Mb),median cpu_usage (%),95th Percentile CPU,mean cpu_usage (%),sum lost,mean sent,mean received,max ru_maxrss,95th Percentile Latency,median latency_mean (ms),mean latency_mean (ms)
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_sync_Array8m.csv,Array8m,cpp_sync,fastrtps,3147.84182472229,3086.2627992630005,3058.4553652162904,17.73,17.97,17.743703703703705,1939.0,0.0,381.77777777777777,93840.0,2.3476,2.261,2.27537037037037
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_async_Array60k.csv,Array60k,async,fastrtps,58.65805187225342,58.60132884979248,58.607549738000934,2.0,2.0,1.898148148148148,0.0,0.0,999.1111111111113,87268.0,0.12077,0.1079,0.10954037037037036
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_sync_Array1m.csv,Array1m,cpp_sync,fastrtps,1000.1046299934387,1000.0140056610107,999.0887384414673,1.499,1.998,1.6744444444444448,0.0,0.0,998.5555555555555,93652.0,0.11062000000000001,0.1003,0.1008485185185185
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_sync_PointCloud512k.csv,PointCloud512k,sync,fastrtps,500.71943407058717,499.35027122497564,492.8379551922834,5.499,6.174,5.656407407407408,392.0,0.0,983.9629629629628,87296.0,0.37662,0.3384,0.3393037037037037
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_sync_PointCloud8m.csv,PointCloud8m,cpp_sync,fastrtps,1642.5627115249633,1614.5339651107788,1601.0448305695145,21.23,21.441000000000006,21.17703703703704,6880.0,0.0,199.6296296296296,93760.0,3.8259,3.649,3.6819629629629618
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_async_PointCloud8m.csv,PointCloud8m,dynamic_cpp_async,fastrtps,1359.4206823348998,1265.3975305557249,1258.504748838919,17.16,17.625,17.032962962962962,22496.0,0.0,156.7407407407407,93472.0,13.486999999999998,12.73,12.767407407407408
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_sync_Array4k.csv,Array4k,sync,connextdds,3.9217552185058593,3.921504020690918,3.917872393572772,2.248,2.747,2.3932222222222217,0.0,0.0,998.5925925925926,89928.0,0.11821,0.1048,0.10475074074074077
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_async_Array2m.csv,Array2m,async,fastrtps,1888.6215867996216,1767.4558897018433,1738.3259866149338,16.25,16.5,16.101481481481482,3506.0,0.0,868.3333333333335,87488.0,3.9433,2.207,2.214348148148148
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_async_Array1k.csv,Array1k,async,connextdds,0.9918607711791992,0.9918212890625,0.9909018410576714,2.248,2.922,2.3740740740740742,0.0,0.0,998.6296296296297,89924.0,0.12264,0.1041,0.1077
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_async_Array60k.csv,Array60k,dynamic_cpp_async,fastrtps,58.612022018432604,58.60872459411621,58.55040394818342,2.248,2.498,2.3112222222222223,0.0,0.0,998.4814814814816,94176.0,0.12247000000000001,0.1053,0.1060977777777778
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_async_PointCloud512k.csv,PointCloud512k,async,fastrtps,500.8637355804443,500.3631000518799,500.25274644074614,5.249,6.098999999999998,5.3879259259259245,6.0,0.0,998.7777777777777,87376.0,0.35832,0.3196,0.3237074074074075
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_sync_Array32k.csv,Array32k,sync,fastrtps,31.292176246643066,31.261338233947754,31.26461449375859,1.75,2.0,1.7777777777777777,0.0,0.0,999.1111111111113,87492.0,0.11915999999999999,0.09837,0.10078222222222223
0,./data/build_farm/raw/performance_test_two_process_results_FastRTPS_sync_PointCloud8m.csv,PointCloud8m,sync,fastrtps,669.4651661872864,615.926438331604,616.4915968577068,12.0,12.675,12.138888888888891,24905.0,0.0,76.07407407407408,87520.0,21.743,19.92,20.03925925925926
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_async_Array1m.csv,Array1m,async,connextdds,948.7091068267821,15.978736877441404,232.17171644281456,5.9060000000000015,6.917999999999998,5.635666666666667,19937.0,0.0,231.66666666666663,121760.0,1.0813,0.9791,0.7803370370370369
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_sync_Array2m.csv,Array2m,dynamic_cpp_sync,fastrtps,1985.9159323692318,1954.2648820877075,1945.551297187805,8.993,9.4904,9.091777777777775,684.0,0.0,972.4074074074074,93628.0,0.50521,0.4865,0.4840185185185185
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_async_PointCloud512k.csv,PointCloud512k,dynamic_cpp_async,fastrtps,500.44884843826287,499.9616889953613,498.8494853266963,3.996,4.496,4.16662962962963,42.0,0.0,996.4074074074074,93624.0,0.24473000000000003,0.2214,0.22075925925925924
0,./data/build_farm/raw/performance_test_two_process_results_rmw_connextdds_async_Array16k.csv,Array16k,async,connextdds,15.640941619873047,15.64017105102539,15.625768167001231,2.248,2.6723,2.3378148148148146,0.0,0.0,998.5185185185184,89988.0,0.11534000000000001,0.1046,0.1050614814814815
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_cpp_sync_Array4m.csv,Array4m,cpp_sync,fastrtps,4000.2353225708007,4000.014430999756,3996.3039858076313,1.499,1.998,1.5912962962962969,0.0,0.0,998.5555555555555,93848.0,0.38526,0.3646,0.3668296296296296
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_sync_PointCloud8m.csv,PointCloud8m,dynamic_cpp_sync,fastrtps,1651.7269535064695,1605.1910018920898,1598.6432282129927,21.18,21.719,21.196666666666665,6733.0,0.0,199.22222222222226,94020.0,3.9765000000000006,3.738,3.7539259259259268
0,./data/build_farm/raw/performance_test_two_process_results_rmw_fastrtps_dynamic_cpp_sync_Array4m.csv,Array4m,dynamic_cpp_sync,fastrtps,3625.585726261139,3597.3272953033447,3596.44295363956,16.4,16.74,16.41037037037037,2672.0,0.0,898.7037037037038,93452.0,0.9365399999999999,0.9177,0.9160925925925923
